channel,mean,std,power
FP1-F7,1.1102230246251566e-18,1.0000000000000002,1.0000000000000004
F7-T7,7.324388009679852e-18,1.0000000000000002,1.0000000000000007
T7-P7,-7.53255482679707e-18,1.0000000000000002,1.0000000000000004
P7-O1,-3.7315829438789985e-18,1.0000000000000002,1.0000000000000007
FP1-F3,2.0774277360086696e-17,0.9999999999999999,0.9999999999999999
F3-C3,2.8603662648328685e-18,0.9999999999999996,0.9999999999999992
C3-P3,1.2058255628567673e-17,1.0,1.0
P3-O1,1.4057042566998727e-17,0.9999999999999997,0.9999999999999994
FP2-F4,-3.5079963625308765e-19,0.9999999999999997,0.9999999999999993
F4-C4,5.959738875244764e-18,0.9999999999999999,0.9999999999999998
C4-P4,1.0362081563168128e-17,0.9999999999999998,0.9999999999999997
P4-O2,2.0970879354030735e-18,1.0000000000000002,1.0000000000000004
FP2-F8,-7.116221192562635e-18,1.0,1.0
F8-T8,6.7924061437136315e-18,0.9999999999999999,0.9999999999999998
T8-P8-0,7.632783294297952e-18,1.0,1.0
P8-O2,1.6900061597071828e-17,1.0,1.0
FZ-CZ,1.1819249282988646e-17,1.0000000000000004,1.0000000000000009
CZ-PZ,-1.724700629226719e-17,0.9999999999999997,0.9999999999999994
P7-T7,9.853229343548264e-18,1.0000000000000002,1.0000000000000004
T7-FT9,-2.929755203871941e-19,0.9999999999999996,0.9999999999999992
FT9-FT10,-1.1564823173178714e-17,0.9999999999999999,0.9999999999999999
FT10-T8,-3.623644594262664e-19,1.0,1.0000000000000002
T8-P8-1,7.632783294297952e-18,1.0,1.0
